,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
37,model_36,0.2980823863636364,0.27734375,0.25,0.3115234375,0.1865234375,0.38671875,0.2509765625,0.2958984375,0.2880859375,0.2724609375,0.267578125,0.291015625,0.353515625,0.3505859375,0.291015625,0.28515625,0.2373046875,0.3115234375,0.353515625,0.2744140625,0.3251953125,0.27734375,0.279296875,0.3076171875,0.265625,0.294921875,0.3212890625,0.27734375,0.3017578125,0.3466796875,0.3115234375,0.3251953125,0.265625,0.326171875,0.279296875,0.2998046875,0.2890625,0.2939453125,0.3046875,0.2490234375,0.287109375,0.2978515625,0.3525390625,0.2763671875,0.28125,0.279296875,0.36328125,0.306640625,0.2626953125,0.279296875,0.359375,0.33203125,0.330078125,0.2451171875,0.2822265625,0.3828125
38,model_37,0.2982244318181818,0.3095703125,0.2568359375,0.2490234375,0.2802734375,0.390625,0.271484375,0.3134765625,0.2880859375,0.271484375,0.26953125,0.29296875,0.328125,0.3701171875,0.2890625,0.2861328125,0.265625,0.3125,0.33984375,0.2744140625,0.337890625,0.28515625,0.271484375,0.3388671875,0.263671875,0.2919921875,0.333984375,0.2919921875,0.296875,0.318359375,0.240234375,0.3173828125,0.2587890625,0.3212890625,0.2841796875,0.296875,0.2880859375,0.3232421875,0.2939453125,0.255859375,0.283203125,0.330078125,0.328125,0.271484375,0.2861328125,0.2783203125,0.3564453125,0.2421875,0.2646484375,0.283203125,0.349609375,0.412109375,0.2998046875,0.236328125,0.234375,0.376953125
39,model_38,0.29959161931818185,0.3203125,0.2578125,0.294921875,0.173828125,0.384765625,0.25390625,0.2919921875,0.2861328125,0.271484375,0.2783203125,0.2958984375,0.357421875,0.33203125,0.28515625,0.2822265625,0.251953125,0.3125,0.34375,0.271484375,0.32421875,0.2783203125,0.28125,0.32421875,0.263671875,0.2841796875,0.3466796875,0.279296875,0.2890625,0.349609375,0.2919921875,0.34375,0.263671875,0.3173828125,0.28515625,0.310546875,0.3056640625,0.318359375,0.306640625,0.2490234375,0.2841796875,0.3037109375,0.33984375,0.27734375,0.2880859375,0.279296875,0.3681640625,0.3193359375,0.26171875,0.2841796875,0.37890625,0.345703125,0.3330078125,0.2451171875,0.2587890625,0.3515625
40,model_39,0.29836647727272725,0.2802734375,0.2587890625,0.2421875,0.1962890625,0.392578125,0.265625,0.322265625,0.2880859375,0.275390625,0.25,0.29296875,0.3037109375,0.34375,0.2880859375,0.2841796875,0.2646484375,0.3115234375,0.341796875,0.283203125,0.3583984375,0.2841796875,0.26953125,0.3349609375,0.2626953125,0.353515625,0.296875,0.32421875,0.2890625,0.3203125,0.2822265625,0.33203125,0.2763671875,0.3173828125,0.2890625,0.3037109375,0.30078125,0.2998046875,0.3056640625,0.244140625,0.283203125,0.30078125,0.3486328125,0.275390625,0.2646484375,0.279296875,0.3642578125,0.2978515625,0.2626953125,0.28125,0.33984375,0.3583984375,0.3486328125,0.2373046875,0.263671875,0.3740234375
41,model_40,0.30143821022727274,0.345703125,0.2568359375,0.3330078125,0.173828125,0.3896484375,0.267578125,0.31640625,0.2880859375,0.2705078125,0.2705078125,0.294921875,0.35546875,0.3330078125,0.27734375,0.283203125,0.28125,0.310546875,0.314453125,0.279296875,0.318359375,0.2822265625,0.31640625,0.314453125,0.2685546875,0.3095703125,0.333984375,0.2783203125,0.29296875,0.357421875,0.369140625,0.3017578125,0.2626953125,0.3330078125,0.2998046875,0.30078125,0.29296875,0.283203125,0.2880859375,0.251953125,0.27734375,0.2958984375,0.322265625,0.2744140625,0.2666015625,0.279296875,0.3642578125,0.349609375,0.267578125,0.2822265625,0.3876953125,0.32421875,0.3056640625,0.248046875,0.2568359375,0.3798828125
42,model_41,0.30376420454545455,0.3046875,0.25,0.2431640625,0.193359375,0.3798828125,0.3896484375,0.3203125,0.2861328125,0.2958984375,0.26171875,0.2919921875,0.341796875,0.3466796875,0.294921875,0.28515625,0.3232421875,0.3125,0.349609375,0.283203125,0.361328125,0.283203125,0.2734375,0.3291015625,0.2685546875,0.2802734375,0.3486328125,0.3388671875,0.2939453125,0.2890625,0.3134765625,0.34765625,0.2744140625,0.32421875,0.3193359375,0.322265625,0.2958984375,0.279296875,0.30859375,0.24609375,0.2802734375,0.3076171875,0.3359375,0.2744140625,0.2939453125,0.27734375,0.365234375,0.263671875,0.2705078125,0.2822265625,0.3671875,0.34375,0.3134765625,0.2431640625,0.255859375,0.380859375
43,model_42,0.30440340909090907,0.314453125,0.2568359375,0.2578125,0.1708984375,0.388671875,0.306640625,0.35546875,0.2880859375,0.2939453125,0.2841796875,0.29296875,0.3447265625,0.296875,0.2802734375,0.2822265625,0.26953125,0.3095703125,0.34765625,0.275390625,0.314453125,0.2802734375,0.32421875,0.318359375,0.2666015625,0.27734375,0.3427734375,0.2890625,0.2939453125,0.353515625,0.365234375,0.3125,0.2685546875,0.314453125,0.3203125,0.3447265625,0.2958984375,0.2900390625,0.3134765625,0.2529296875,0.2822265625,0.302734375,0.33203125,0.2783203125,0.28125,0.279296875,0.365234375,0.3486328125,0.26171875,0.2822265625,0.3701171875,0.365234375,0.3466796875,0.2490234375,0.251953125,0.390625
44,model_43,0.3053977272727273,0.2802734375,0.255859375,0.2392578125,0.3720703125,0.3740234375,0.296875,0.3125,0.2890625,0.2861328125,0.267578125,0.2939453125,0.3203125,0.3125,0.28515625,0.2861328125,0.3203125,0.3125,0.3486328125,0.2919921875,0.3623046875,0.2841796875,0.2861328125,0.30859375,0.2685546875,0.4013671875,0.294921875,0.27734375,0.2939453125,0.2890625,0.30078125,0.33203125,0.2607421875,0.3359375,0.326171875,0.3232421875,0.29296875,0.3251953125,0.2978515625,0.2412109375,0.28125,0.31640625,0.34765625,0.2734375,0.2783203125,0.279296875,0.36328125,0.283203125,0.2841796875,0.310546875,0.3876953125,0.3525390625,0.3193359375,0.24609375,0.263671875,0.3623046875
45,model_44,0.3094637784090909,0.3349609375,0.2548828125,0.3447265625,0.1748046875,0.3818359375,0.4375,0.3310546875,0.287109375,0.2900390625,0.3330078125,0.2958984375,0.341796875,0.3232421875,0.29296875,0.28515625,0.2880859375,0.306640625,0.27734375,0.28515625,0.3486328125,0.2822265625,0.30078125,0.3369140625,0.2666015625,0.2578125,0.33203125,0.28125,0.2958984375,0.33203125,0.3603515625,0.32421875,0.2822265625,0.3134765625,0.330078125,0.34375,0.2939453125,0.3212890625,0.298828125,0.2587890625,0.279296875,0.2919921875,0.3291015625,0.27734375,0.3271484375,0.2783203125,0.3681640625,0.3310546875,0.267578125,0.3017578125,0.36328125,0.3447265625,0.337890625,0.2470703125,0.283203125,0.365234375
46,model_45,0.31083096590909093,0.2861328125,0.2763671875,0.2412109375,0.4072265625,0.392578125,0.3408203125,0.3203125,0.2861328125,0.2822265625,0.333984375,0.2890625,0.3193359375,0.294921875,0.29296875,0.28125,0.33203125,0.3125,0.3466796875,0.2880859375,0.310546875,0.2822265625,0.287109375,0.345703125,0.26953125,0.40234375,0.361328125,0.2841796875,0.291015625,0.2861328125,0.3427734375,0.3505859375,0.267578125,0.3330078125,0.2939453125,0.3525390625,0.2919921875,0.28515625,0.3056640625,0.2919921875,0.2890625,0.296875,0.326171875,0.275390625,0.3291015625,0.279296875,0.3642578125,0.267578125,0.2646484375,0.3115234375,0.3798828125,0.3427734375,0.3447265625,0.2451171875,0.263671875,0.3564453125
47,model_46,0.31097301136363636,0.3291015625,0.2783203125,0.3271484375,0.1982421875,0.388671875,0.326171875,0.326171875,0.2880859375,0.306640625,0.26953125,0.294921875,0.353515625,0.345703125,0.2822265625,0.2841796875,0.31640625,0.3046875,0.2783203125,0.2744140625,0.36328125,0.28125,0.3095703125,0.32421875,0.2685546875,0.2890625,0.3388671875,0.2783203125,0.291015625,0.3583984375,0.3203125,0.2890625,0.2880859375,0.33203125,0.306640625,0.34765625,0.30078125,0.326171875,0.310546875,0.3037109375,0.287109375,0.28125,0.3388671875,0.2685546875,0.337890625,0.2783203125,0.37109375,0.3505859375,0.2646484375,0.275390625,0.39453125,0.408203125,0.33984375,0.2470703125,0.2734375,0.38671875
48,model_47,0.31010298295454547,0.28125,0.275390625,0.2548828125,0.2578125,0.3857421875,0.34375,0.2939453125,0.2890625,0.29296875,0.2734375,0.29296875,0.31640625,0.2958984375,0.2861328125,0.2822265625,0.36328125,0.3115234375,0.35546875,0.3212890625,0.3349609375,0.283203125,0.3076171875,0.3408203125,0.2685546875,0.33203125,0.3486328125,0.2734375,0.287109375,0.2802734375,0.3427734375,0.3447265625,0.2685546875,0.310546875,0.3388671875,0.3515625,0.2958984375,0.2705078125,0.3193359375,0.310546875,0.2939453125,0.30859375,0.3603515625,0.2685546875,0.29296875,0.279296875,0.3642578125,0.263671875,0.2822265625,0.3076171875,0.3916015625,0.4326171875,0.3291015625,0.2392578125,0.2822265625,0.3759765625
49,model_48,0.3131036931818182,0.326171875,0.259765625,0.3232421875,0.1865234375,0.3603515625,0.3828125,0.30859375,0.287109375,0.306640625,0.26953125,0.2958984375,0.3505859375,0.2958984375,0.291015625,0.283203125,0.28515625,0.3125,0.271484375,0.3154296875,0.34375,0.283203125,0.330078125,0.3515625,0.2685546875,0.33984375,0.349609375,0.28515625,0.2958984375,0.3623046875,0.375,0.306640625,0.2587890625,0.3408203125,0.3271484375,0.37890625,0.31640625,0.283203125,0.29296875,0.314453125,0.2939453125,0.298828125,0.3408203125,0.2744140625,0.3388671875,0.2822265625,0.3681640625,0.3564453125,0.26953125,0.2880859375,0.3916015625,0.36328125,0.3505859375,0.2421875,0.2939453125,0.3515625
50,model_49,0.3101740056818182,0.2841796875,0.25390625,0.2490234375,0.3193359375,0.3759765625,0.2958984375,0.3115234375,0.287109375,0.2978515625,0.279296875,0.291015625,0.3271484375,0.296875,0.29296875,0.28125,0.3486328125,0.3154296875,0.3466796875,0.330078125,0.3408203125,0.28515625,0.31640625,0.3349609375,0.26953125,0.310546875,0.35546875,0.2939453125,0.287109375,0.341796875,0.28125,0.3388671875,0.27734375,0.337890625,0.29296875,0.3466796875,0.2958984375,0.333984375,0.314453125,0.3076171875,0.2861328125,0.24609375,0.326171875,0.2744140625,0.3251953125,0.27734375,0.3662109375,0.3359375,0.3017578125,0.3271484375,0.3583984375,0.37890625,0.333984375,0.2470703125,0.2587890625,0.369140625
51,model_50,0.3139559659090909,0.3408203125,0.2685546875,0.3408203125,0.19140625,0.3720703125,0.4248046875,0.3193359375,0.287109375,0.2783203125,0.29296875,0.294921875,0.337890625,0.29296875,0.3125,0.2861328125,0.2724609375,0.3125,0.2744140625,0.3251953125,0.345703125,0.283203125,0.337890625,0.3291015625,0.263671875,0.310546875,0.3564453125,0.279296875,0.2939453125,0.3681640625,0.388671875,0.3447265625,0.2744140625,0.337890625,0.296875,0.37890625,0.3125,0.3095703125,0.3115234375,0.3154296875,0.28515625,0.3056640625,0.318359375,0.2646484375,0.3388671875,0.28125,0.3671875,0.306640625,0.2724609375,0.2958984375,0.404296875,0.333984375,0.37890625,0.2431640625,0.2822265625,0.3251953125
52,model_51,0.31780894886363636,0.2744140625,0.2578125,0.25,0.3935546875,0.359375,0.3740234375,0.2939453125,0.318359375,0.2685546875,0.2607421875,0.294921875,0.3505859375,0.3017578125,0.3076171875,0.2841796875,0.353515625,0.3125,0.3427734375,0.333984375,0.357421875,0.2890625,0.337890625,0.349609375,0.2626953125,0.357421875,0.35546875,0.298828125,0.2939453125,0.2978515625,0.376953125,0.4052734375,0.2724609375,0.33984375,0.3056640625,0.3427734375,0.296875,0.326171875,0.3076171875,0.3173828125,0.2802734375,0.30078125,0.3095703125,0.2685546875,0.35546875,0.279296875,0.369140625,0.2763671875,0.2783203125,0.322265625,0.3984375,0.3359375,0.3681640625,0.2431640625,0.26953125,0.400390625
53,model_52,0.3168146306818182,0.3212890625,0.2685546875,0.380859375,0.2275390625,0.3271484375,0.32421875,0.30859375,0.287109375,0.2626953125,0.3125,0.29296875,0.3642578125,0.3017578125,0.31640625,0.2861328125,0.3095703125,0.3095703125,0.298828125,0.28515625,0.3486328125,0.2802734375,0.337890625,0.3525390625,0.251953125,0.3232421875,0.3486328125,0.3134765625,0.29296875,0.3740234375,0.40234375,0.2958984375,0.2822265625,0.3251953125,0.326171875,0.396484375,0.310546875,0.2939453125,0.3291015625,0.318359375,0.2822265625,0.310546875,0.302734375,0.271484375,0.33984375,0.28515625,0.365234375,0.34375,0.3076171875,0.34375,0.39453125,0.353515625,0.37890625,0.25,0.2734375,0.3330078125
54,model_53,0.3243252840909091,0.28125,0.3017578125,0.2939453125,0.4306640625,0.306640625,0.451171875,0.296875,0.2890625,0.2626953125,0.2724609375,0.2900390625,0.3564453125,0.30859375,0.298828125,0.2861328125,0.3623046875,0.3056640625,0.31640625,0.3193359375,0.3583984375,0.2880859375,0.345703125,0.3427734375,0.2685546875,0.34765625,0.3388671875,0.328125,0.2880859375,0.3486328125,0.365234375,0.4658203125,0.2822265625,0.33984375,0.283203125,0.380859375,0.2783203125,0.326171875,0.310546875,0.322265625,0.28515625,0.2890625,0.3056640625,0.2763671875,0.361328125,0.27734375,0.369140625,0.3525390625,0.3115234375,0.3310546875,0.384765625,0.38671875,0.361328125,0.251953125,0.2978515625,0.3564453125
55,model_54,0.32029474431818183,0.298828125,0.2744140625,0.396484375,0.328125,0.310546875,0.36328125,0.3369140625,0.28515625,0.2705078125,0.267578125,0.294921875,0.3623046875,0.3232421875,0.33984375,0.28125,0.3251953125,0.3125,0.28515625,0.330078125,0.3291015625,0.2822265625,0.34375,0.3291015625,0.26953125,0.2919921875,0.3671875,0.3212890625,0.294921875,0.3740234375,0.3828125,0.44140625,0.2841796875,0.3154296875,0.2900390625,0.392578125,0.37109375,0.328125,0.3056640625,0.328125,0.28515625,0.2607421875,0.2822265625,0.28125,0.3359375,0.2890625,0.3671875,0.298828125,0.3232421875,0.33203125,0.3828125,0.3505859375,0.314453125,0.2587890625,0.26953125,0.35546875
56,model_55,0.32389914772727274,0.27734375,0.2890625,0.2529296875,0.4755859375,0.34765625,0.4130859375,0.3583984375,0.287109375,0.2626953125,0.3310546875,0.291015625,0.3603515625,0.3408203125,0.36328125,0.287109375,0.365234375,0.3115234375,0.3388671875,0.3232421875,0.3681640625,0.2841796875,0.3349609375,0.3515625,0.267578125,0.2900390625,0.3486328125,0.283203125,0.2939453125,0.279296875,0.3955078125,0.4677734375,0.2939453125,0.330078125,0.291015625,0.3828125,0.2978515625,0.30859375,0.32421875,0.328125,0.2900390625,0.296875,0.3125,0.2763671875,0.375,0.287109375,0.361328125,0.2998046875,0.287109375,0.3330078125,0.2744140625,0.3349609375,0.376953125,0.2548828125,0.3017578125,0.3544921875
57,model_56,0.3232776988636364,0.306640625,0.296875,0.3603515625,0.2421875,0.33984375,0.359375,0.30078125,0.2880859375,0.28515625,0.3251953125,0.2958984375,0.3564453125,0.3427734375,0.333984375,0.287109375,0.3154296875,0.3115234375,0.27734375,0.34765625,0.3681640625,0.28125,0.34375,0.3486328125,0.267578125,0.3330078125,0.353515625,0.3056640625,0.2939453125,0.373046875,0.404296875,0.3740234375,0.2822265625,0.3203125,0.294921875,0.376953125,0.3408203125,0.2939453125,0.30859375,0.3291015625,0.28515625,0.3095703125,0.326171875,0.2734375,0.3662109375,0.283203125,0.3671875,0.330078125,0.3173828125,0.3017578125,0.3955078125,0.4189453125,0.333984375,0.2822265625,0.228515625,0.39453125
58,model_57,0.32310014204545456,0.279296875,0.294921875,0.248046875,0.4072265625,0.34375,0.45703125,0.3173828125,0.287109375,0.271484375,0.2841796875,0.291015625,0.3486328125,0.3447265625,0.330078125,0.2841796875,0.3330078125,0.30859375,0.3369140625,0.3525390625,0.32421875,0.2841796875,0.33984375,0.34375,0.2685546875,0.3427734375,0.3544921875,0.302734375,0.2890625,0.306640625,0.408203125,0.380859375,0.287109375,0.3203125,0.279296875,0.3828125,0.3076171875,0.294921875,0.3115234375,0.326171875,0.287109375,0.3017578125,0.3115234375,0.2763671875,0.3720703125,0.287109375,0.3623046875,0.2978515625,0.314453125,0.3447265625,0.3662109375,0.3828125,0.337890625,0.2509765625,0.3115234375,0.390625
59,model_58,0.323046875,0.3369140625,0.3095703125,0.326171875,0.232421875,0.35546875,0.3896484375,0.345703125,0.2861328125,0.2890625,0.2666015625,0.2919921875,0.3701171875,0.3447265625,0.357421875,0.283203125,0.3779296875,0.3115234375,0.28125,0.3447265625,0.3720703125,0.283203125,0.349609375,0.3544921875,0.2724609375,0.3408203125,0.34765625,0.296875,0.29296875,0.35546875,0.3994140625,0.3857421875,0.27734375,0.3359375,0.283203125,0.3740234375,0.33203125,0.3115234375,0.3017578125,0.333984375,0.2822265625,0.318359375,0.2978515625,0.28515625,0.361328125,0.27734375,0.36328125,0.3193359375,0.328125,0.3291015625,0.3896484375,0.330078125,0.3828125,0.244140625,0.216796875,0.3408203125
60,model_59,0.3180930397727273,0.28515625,0.296875,0.2568359375,0.40625,0.3154296875,0.3525390625,0.29296875,0.287109375,0.271484375,0.2666015625,0.2900390625,0.35546875,0.3271484375,0.341796875,0.283203125,0.35546875,0.3115234375,0.328125,0.345703125,0.3359375,0.27734375,0.3466796875,0.353515625,0.26953125,0.2646484375,0.3671875,0.296875,0.29296875,0.326171875,0.326171875,0.4443359375,0.2763671875,0.341796875,0.2890625,0.369140625,0.3212890625,0.302734375,0.2998046875,0.3310546875,0.283203125,0.310546875,0.33203125,0.2783203125,0.357421875,0.2783203125,0.36328125,0.267578125,0.337890625,0.3330078125,0.3193359375,0.3427734375,0.322265625,0.25390625,0.2939453125,0.4189453125
61,model_60,0.3245205965909091,0.3388671875,0.3037109375,0.3642578125,0.3310546875,0.3642578125,0.3916015625,0.3017578125,0.2880859375,0.263671875,0.2958984375,0.294921875,0.3603515625,0.302734375,0.359375,0.28515625,0.3564453125,0.3134765625,0.30859375,0.3388671875,0.35546875,0.28125,0.35546875,0.35546875,0.2666015625,0.314453125,0.349609375,0.3173828125,0.2880859375,0.3603515625,0.3955078125,0.3212890625,0.2880859375,0.3310546875,0.279296875,0.3583984375,0.3564453125,0.2783203125,0.3056640625,0.3310546875,0.28125,0.3193359375,0.3095703125,0.2900390625,0.345703125,0.2822265625,0.3681640625,0.3525390625,0.33203125,0.3154296875,0.412109375,0.38671875,0.353515625,0.2509765625,0.2470703125,0.349609375
62,model_61,0.3248224431818182,0.28125,0.3134765625,0.306640625,0.40234375,0.3720703125,0.4130859375,0.337890625,0.2861328125,0.283203125,0.2666015625,0.2900390625,0.3359375,0.3134765625,0.35546875,0.28515625,0.3642578125,0.3125,0.326171875,0.341796875,0.345703125,0.283203125,0.35546875,0.3291015625,0.2666015625,0.3173828125,0.359375,0.3388671875,0.2939453125,0.3271484375,0.40234375,0.357421875,0.3017578125,0.3291015625,0.28125,0.390625,0.2939453125,0.3134765625,0.29296875,0.333984375,0.2939453125,0.3251953125,0.302734375,0.275390625,0.3505859375,0.2822265625,0.3642578125,0.3349609375,0.3349609375,0.34375,0.380859375,0.357421875,0.345703125,0.248046875,0.28515625,0.3388671875
63,model_62,0.3279296875,0.3330078125,0.2919921875,0.369140625,0.455078125,0.373046875,0.4013671875,0.357421875,0.287109375,0.2880859375,0.2666015625,0.294921875,0.3623046875,0.3271484375,0.3564453125,0.2841796875,0.31640625,0.3076171875,0.33984375,0.341796875,0.349609375,0.2861328125,0.3505859375,0.3515625,0.2685546875,0.279296875,0.34765625,0.3359375,0.291015625,0.373046875,0.400390625,0.3125,0.3369140625,0.3193359375,0.2763671875,0.3564453125,0.37890625,0.341796875,0.3193359375,0.3310546875,0.2841796875,0.2724609375,0.322265625,0.27734375,0.34375,0.279296875,0.3642578125,0.3525390625,0.3349609375,0.32421875,0.4033203125,0.3486328125,0.326171875,0.24609375,0.2392578125,0.357421875
64,model_63,0.32484019886363635,0.2783203125,0.3251953125,0.2587890625,0.458984375,0.37890625,0.3916015625,0.33203125,0.287109375,0.287109375,0.26953125,0.294921875,0.3447265625,0.3046875,0.330078125,0.2841796875,0.3642578125,0.3125,0.333984375,0.341796875,0.3388671875,0.2802734375,0.3466796875,0.3505859375,0.2666015625,0.26953125,0.3623046875,0.3134765625,0.2919921875,0.3173828125,0.3525390625,0.4423828125,0.287109375,0.3349609375,0.279296875,0.38671875,0.3359375,0.3125,0.3076171875,0.3349609375,0.2998046875,0.33203125,0.33984375,0.26953125,0.3623046875,0.27734375,0.3662109375,0.32421875,0.3466796875,0.3505859375,0.318359375,0.3310546875,0.3134765625,0.2509765625,0.306640625,0.38671875
65,model_64,0.32405894886363634,0.2783203125,0.3154296875,0.337890625,0.27734375,0.375,0.435546875,0.3046875,0.287109375,0.318359375,0.263671875,0.294921875,0.3583984375,0.3173828125,0.3701171875,0.2841796875,0.35546875,0.3125,0.2841796875,0.3486328125,0.353515625,0.2822265625,0.3515625,0.3515625,0.2666015625,0.34765625,0.3017578125,0.3271484375,0.2939453125,0.361328125,0.3955078125,0.3427734375,0.267578125,0.322265625,0.283203125,0.375,0.361328125,0.3369140625,0.306640625,0.33203125,0.294921875,0.3134765625,0.31640625,0.271484375,0.3740234375,0.279296875,0.3642578125,0.3623046875,0.32421875,0.330078125,0.390625,0.3505859375,0.375,0.2509765625,0.1865234375,0.359375
